species_code,species_common_name,trait,dietary_guild,habitat_guild,migratory_guild,continental_importance,climate_prediction
MOCH,Mountain Chickadee,Invertebrate,Insect gleaner,Forest Generalist,Winter residents,NA,Potential extirpation
MODO,Mourning Dove,PlantSeed,Granivore-herbivore,Habitat Generalist,Short-distance migrants,NA,NA
NAWA,Nashville Warbler,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Potential colonisation
NOFL,Northern Flicker,Invertebrate,Insect gleaner,Forest Generalist,Short-distance migrants,NA,Stable
NOPO,Northern Pygmy-Owl,NA,Carnivore,Forest Generalist,Winter residents,NA,Potential extirpation
NOWA,Northern Waterthrush,Invertebrate,Insect gleaner,Wetland,Long-distance migrants,NA,Improving
NRWS,Northern Rough-winged Swallow,Invertebrate,Aerial insectivore,Habitat Generalist,Long-distance migrants,NA,Improving
OCWA,Orange-crowned Warbler,Invertebrate,Insect gleaner,Forest Generalist,Short-distance migrants,NA,Stable
OSFL,Olive-sided Flycatcher,Invertebrate,Aerial insectivore,Forest Generalist,Long-distance migrants,Watch List/Tipping Point Yellow,Improving
OSPR,Osprey,VertFishScav,Aquatic,Wetland,Short-distance migrants,NA,Improving
OVEN,Ovenbird,Invertebrate,Insect gleaner,Late succession forest,Long-distance migrants,NA,Improving
PAWR,Pacific Wren,NA,Insect gleaner,Late succession forest,Short-distance migrants,NA,Improving
PBGR,Pied-billed Grebe,Invertebrate,Aquatic,Wetland,Short-distance migrants,NA,Improving
PIGR,Pine Grosbeak,PlantSeed,Granivore-herbivore,Forest Generalist,Winter residents,Common Bird in Steep Decline,Stable
PISI,Pine Siskin,PlantSeed,Granivore-herbivore,Forest Generalist,Winter residents,Common Bird in Steep Decline,Stable
PIWO,Pileated Woodpecker,Invertebrate,Bark forager,Late succession forest,Winter residents,NA,Improving
PUFI,Purple Finch,PlantSeed,Granivore-herbivore,Forest Generalist,Short-distance migrants,NA,Improving
RBGR,Rose-breasted Grosbeak,Omnivore,Granivore-herbivore,Late succession forest,Long-distance migrants,NA,Potential extirpation
RBNU,Red-breasted Nuthatch,Omnivore,Bark forager,Late succession forest,Winter residents,NA,Stable
RCKI,Ruby-crowned Kinglet,Invertebrate,Insect gleaner,Late succession forest,Short-distance migrants,NA,Stable
RECR,Red Crossbill,PlantSeed,Granivore-herbivore,Late succession forest,Winter residents,NA,Stable
REVI,Red-eyed Vireo,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Improving
RNDU,Ring-necked Duck,PlantSeed,Aquatic,Wetland,Short-distance migrants,NA,Stable
RNGR,Red-necked Grebe,Omnivore,Aquatic,Wetland,Short-distance migrants,NA,Stable
RNSA,Red-naped Sapsucker,Omnivore,Bark forager,Forest Generalist,Short-distance migrants,NA,Potential extirpation
ROWR,Rock Wren,Invertebrate,Insect gleaner,Grassland-shrubland-alpine,Short-distance migrants,Common Bird in Steep Decline,Stable
RTHA,Red-tailed Hawk,VertFishScav,Carnivore,Habitat Generalist,Short-distance migrants,NA,Stable
RUGR,Ruffed Grouse,PlantSeed,Granivore-herbivore,Forest Generalist,Winter residents,NA,Improving
RUHU,Rufous Hummingbird,FruiNect,Frugivore-nectarivore,Habitat Generalist,Long-distance migrants,Watch List/Tipping Point Orange,Stable
RWBL,Red-winged Blackbird,Omnivore,Granivore-insectivore,Wetland,Short-distance migrants,NA,Improving
SACR,Sandhill Crane,Omnivore,Aquatic,Wetland,Short-distance migrants,NA,NA
SAPH,Say's Phoebe,Invertebrate,Aerial insectivore,Grassland-shrubland-alpine,Short-distance migrants,NA,NA
SAVS,Savannah Sparrow,Omnivore,Granivore-insectivore,Grassland-shrubland-alpine,Short-distance migrants,Common Bird in Steep Decline,Stable
SORA,Sora,PlantSeed,Aquatic,Wetland,Short-distance migrants,NA,Stable
SOSA,Solitary Sandpiper,Invertebrate,Insect gleaner,Habitat Generalist,Long-distance migrants,NA,Potential extirpation
SOSP,Song Sparrow,Omnivore,Granivore-insectivore,Forest Generalist,Short-distance migrants,NA,Improving
SPGR,Spruce Grouse,PlantSeed,Granivore-herbivore,Forest Generalist,Winter residents,NA,Stable
SPSA,Spotted Sandpiper,Invertebrate,Insect gleaner,Habitat Generalist,Long-distance migrants,Common Bird in Steep Decline,Stable
SPTO,Spotted Towhee,Omnivore,Insect gleaner,Grassland-shrubland-alpine,Short-distance migrants,NA,Potential colonisation
SSHA,Sharp-shinned Hawk,VertFishScav,Carnivore,Forest Generalist,Short-distance migrants,NA,Stable
STJA,Steller's Jay,Omnivore,Omnivore,Forest Generalist,Winter residents,NA,Improving
SWSP,Swamp Sparrow,Omnivore,Granivore-insectivore,Wetland,Short-distance migrants,NA,NA
SWTH,Swainson's Thrush,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Stable
TEWA,Tennessee Warbler,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Improving
TOSO,Townsend's Solitaire,Omnivore,Insect gleaner,Forest Generalist,Short-distance migrants,NA,Stable
TOWA,Townsend's Warbler,Invertebrate,Insect gleaner,Late succession forest,Long-distance migrants,NA,Potential extirpation
TRES,Tree Swallow,Invertebrate,Aerial insectivore,Forest Generalist,Long-distance migrants,NA,Improving
VASW,Vaux's Swift,Invertebrate,Aerial insectivore,Forest Generalist,Long-distance migrants,Watch List Yellow,NA
VATH,Varied Thrush,FruiNect,Insect gleaner,Late succession forest,Short-distance migrants,NA,Stable
VEER,Veery,Omnivore,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Improving
VESP,Vesper Sparrow,Omnivore,Granivore-insectivore,Grassland-shrubland-alpine,Short-distance migrants,NA,Improving
VGSW,Violet-green Swallow,Invertebrate,Aerial insectivore,Habitat Generalist,Long-distance migrants,NA,Improving
VIRA,Virginia Rail,Omnivore,Aquatic,Wetland,Short-distance migrants,NA,Potential colonisation
WAVI,Warbling Vireo,Invertebrate,Insect gleaner,Late succession forest,Long-distance migrants,NA,Improving
WCSP,White-crowned Sparrow,PlantSeed,Granivore-insectivore,Habitat Generalist,Short-distance migrants,NA,Stable
WEFL,Western Flycatcher,NA,Aerial insectivore,Forest Generalist,Long-distance migrants,NA,NA
WEME,Western Meadowlark,Omnivore,Insect gleaner,Grassland-shrubland-alpine,Short-distance migrants,NA,Improving
WETA,Western Tanager,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Improving
WEWP,Western Wood-Pewee,NA,Aerial insectivore,Late succession forest,Long-distance migrants,NA,Stable
WIFL,Willow Flycatcher,Invertebrate,Aerial insectivore,Forest Generalist,Long-distance migrants,NA,Improving
WISN,Wilson's Snipe,NA,Aquatic,Wetland,Long-distance migrants,NA,Stable
WIWA,Wilson's Warbler,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Stable
WTPT,White-tailed Ptarmigan,PlantSeed,Granivore-herbivore,Grassland-shrubland-alpine,Winter residents,NA,NA
WTSP,White-throated Sparrow,PlantSeed,Granivore-insectivore,Forest Generalist,Short-distance migrants,NA,Improving
WWCR,White-winged Crossbill,PlantSeed,Granivore-herbivore,Late succession forest,Winter residents,NA,Stable
YBCH,Yellow-breasted Chat,Invertebrate,Insect gleaner,Wetland,Long-distance migrants,NA,NA
YBFL,Yellow-bellied Flycatcher,Invertebrate,Aerial insectivore,Forest Generalist,Long-distance migrants,NA,Potential extirpation
YEWA,Yellow Warbler,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Improving
YHBL,Yellow-headed Blackbird,Invertebrate,Insect gleaner,Wetland,Long-distance migrants,NA,Improving
YRWA,Yellow-rumped Warbler,Invertebrate,Insect gleaner,Late succession forest,Short-distance migrants,NA,Stable
